,Category,Latitude,Longitude,Unnamed: 0,name
0,Museum,19.429249,-99.132217,0.0,museum of mexico
1,History Museum,19.43274612225176,-99.150288014254,1.0,British American Museum
2,History Museum,19.414180755615234,-99.08529663085938,2.0,Museum aan de stroom
3,Art Museum,19.436758370529315,-99.08030907931531,3.0,san francisco museum of modern art
4,History Museum,19.46644,-99.16826,4.0,Agneviking Aviation Museum
5,Art Museum,19.440400767061764,-99.20448185480257,5.0,Museo Soumaya
6,Science Museum,19.376053,-99.159014,6.0,Sci museum
7,Art Gallery,19.429085970100214,-99.15491509382905,7.0,Garage Art
8,Art Gallery,19.416625149341787,-99.16433224214174,8.0,Closed Door Art Gallery
9,Art Museum,19.422927989651228,-99.1797526562287,9.0,Museo de Arte Moderno
10,Public Art,19.43606653257105,-99.13163646040786,10.0,Estudio Body Art Extreme
11,Art Gallery,19.427630999999998,-99.197214,11.0,Art Galleries
12,Museum,19.434545999999997,-99.13894,12.0,Museo Art Toys
13,Monument / Landmark,19.435268,-99.14139499999999,13.0,Palace Of Fine Art
14,Art Gallery,19.434714000000003,-99.13799499999999,14.0,art gallery cassa lohr
15,Public Art,19.425773,-99.160834,15.0,A Journey For The Modern Frontier #Levis
16,Opera House,19.434814461341627,-99.1413805577666,16.0,Palacio de Bellas Artes
17,Auditorium,19.423024082561927,-99.14480721680624,17.0,Sala de plenos Art. 123
18,Art Gallery,19.41474914550781,-99.11526489257812,18.0,Reptilian Art
19,Art Gallery,19.431991040266205,-99.1465476266248,19.0,Rembrandt Art Design
20,Art Gallery,19.435144407295766,-99.14620806714785,20.0,Material Art Fair
21,Indie Movie Theater,19.380801571614906,-99.16261969896422,21.0,New Art Lab
22,Public Art,19.432979,-99.148875,22.0,absolut Art Bar
23,Art Gallery,19.432946727120548,-99.15207265363777,23.0,Affordable Art Fair
24,Art Gallery,19.432793826533807,-99.15219070620992,24.0,Stand Morton Casa de Subastas Affordable Art
25,Cultural Center,19.423019326166813,-99.17583643585213,25.0,Centro de Cultura Digital
26,Music Venue,19.406192553215128,-99.12593163282496,26.0,"Circo Volador, Centro de Arte y Cultura"
27,Historic Site,19.427194595336914,-99.13732147216795,27.0,Centro de Cultura Casa de la Acequia
28,Art Museum,19.433680699300112,-99.1390178555382,28.0,Palacio de Cultura Banamex - Antiguo Palacio de Iturbide
29,Art Gallery,19.347755342304524,-99.16340237115898,29.0,Centro de la Cultura Coyoacan
30,Music Venue,19.44770137012279,-99.15396370984732,30.0,Centro de Cultura Musical Alzate
31,Art Gallery,19.423372920825656,-99.16813373565674,31.0,"Sensus, Centro de Cultura y Arte"
32,Art Gallery,19.49316435486616,-99.13335507740824,32.0,"Centro de la Juventud, Arte y Cultura Futurama"
33,Public Art,19.421291064625333,-99.03312207745228,33.0,Centro Regional de Cultura De Ciudad Nezahualcóyotl
34,Public Art,19.401345000000003,-99.176639,34.0,centro de arte y cultura
35,Cultural Center,19.43523370628456,-99.13301134068688,35.0,Centro Cultural de España
36,Cultural Center,19.349006972758986,-99.17081107231951,36.0,Casa de Cultura Jesús Reyes Heroles
37,Art Gallery,19.43895619326395,-99.13435293444986,37.0,Centro Cultural del Mexico Contemporaneo
38,Exhibit,19.433616061372227,-99.1409100047308,38.0,Centro Cultural Y De Visitantes El Rule
39,Opera House,19.434578622655934,-99.13922951238777,39.0,Compañía Nacional de Ópera
40,Opera House,19.432228,-99.133462,40.0,Opera Para Todos
41,Opera House,19.424692999999998,-99.194879,41.0,The Metropolitan Opera
42,Monument / Landmark,19.435626983642575,-99.1489715576172,42.0,Coordinación Nacional de Musica y Opera INBA
43,Music Venue,19.447552310220157,-99.11050401240593,43.0,Clase Canto De Ópera
44,Convention Center,19.432975,-99.151735,44.0,Expo Reforma
45,Exhibit,19.434225,-99.13311999999999,45.0,Expo Vida Y Familia
46,Exhibit,19.393424,-99.174002,46.0,The Green Expo
47,Exhibit,19.438804,-99.134213,47.0,Expo Playmobil
48,History Museum,19.43173189413611,-99.14604386393823,48.0,Exposición Asesinos Seriales
49,Convention Center,19.40414062562128,-99.09989177728548,49.0,Centro de Exposiciones Palacio de los Deportes
50,Exhibit,19.432888438656267,-99.15184543762464,50.0,Expo De Los Pueblos Indígenas
51,Art Museum,19.436017757709912,-99.13960272035955,51.0,Museo Nacional de Arte (MUNAL)
52,Exhibit,19.432942,-99.151854,52.0,Expo Repostería Y pan MX
53,Exhibit,19.432957000000002,-99.15185,53.0,1er Congreso de Tatuajes (Expo Tatuajes)
54,Exhibit,19.405054,-99.118286,54.0,Expo Domoble
55,Art Gallery,19.40641,-99.100738,55.0,Expo Juan Pablo II
56,Exhibit,19.404268,-99.099365,56.0,Expo Uber
57,Exhibit,19.4076,-99.09155,57.0,Expo Tattoo Arte México
58,Science Museum,19.422495137381613,-99.17739482479051,58.0,Expo sistema satelital mexicano
59,Art Gallery,19.411409,-99.175229,59.0,Expo Rock Gallery
60,Exhibit,19.393991,-99.17369000000001,60.0,"Fajas Diseños D'prada,  Stand 941, Expo Tu Bebé Y Tú"
61,Exhibit,19.393398,-99.17342,61.0,Expo impresión WTC
62,Exhibit,19.393672,-99.174131,62.0,Expo Eres 15
63,Indie Movie Theater,19.43079283741265,-99.13763069521731,63.0,La Casa del Cine
64,Indie Movie Theater,19.40894931643675,-99.16047164151779,64.0,Cine Tonalá
65,Indie Movie Theater,19.42329911659928,-99.12914523176393,65.0,Cine Nacional
66,Indie Movie Theater,19.42821757277392,-99.14183706052208,66.0,Cine Teresa
67,Indie Movie Theater,19.41699981689453,-99.16797637939452,67.0,Escuela De Cine
68,Indie Movie Theater,19.426556103666663,-99.13582470953804,68.0,Sala de cine UCSJ
69,Indie Movie Theater,19.384219008345386,-99.11962415809082,69.0,Cine Mike 3D
70,Indie Movie Theater,19.437920000000002,-99.12769399999999,70.0,"Cine ""28 de marzo"""
71,Indie Movie Theater,19.383582,-99.177474,71.0,Sevilla Cine Producciones
72,Indie Movie Theater,19.38499326760957,-99.19224960654915,72.0,Sala de Cine Taua
73,Indie Movie Theater,19.35955414186376,-99.17052264640834,73.0,Muestra Internacional de Cine
74,Indie Movie Theater,19.437581414168182,-99.13583011387216,74.0,Cine Venus
75,Opera House,19.43640550618384,-99.1377540800265,75.0,Premio Iberoamericano de Cine Fenix
76,Indie Movie Theater,19.437489000000003,-99.140575,76.0,Cine Mariscala
77,Indie Movie Theater,19.409060999999998,-99.137596,77.0,LEC (Laboratorio Experimental de Cine)
78,Indie Movie Theater,19.427395,-99.17184300000001,78.0,Sala De Cine Vip
79,Indie Movie Theater,19.415171575750986,-99.15870993095751,79.0,Sala De Cine Universidad De La Comunicación
80,Indie Movie Theater,19.412238000000002,-99.157589,80.0,Cine nanche
81,Soccer Stadium,19.383573074196104,-99.1782113067964,81.0,Estadio Azul
82,Soccer Stadium,19.446779737823046,-99.08152961843771,82.0,Estadio Oceania
83,Soccer Stadium,19.40431509773032,-99.12321739254186,83.0,estadio maracaná
84,Soccer Stadium,19.412459,-99.156281,84.0,Estadio Coahuila 30
85,Soccer Stadium,19.408064570894027,-99.09428159096882,85.0,"Estadio ""Palillo"" Martinez"
86,Soccer Stadium,19.46948220293397,-99.11497210524078,86.0,Estadio Olímpico Jorge Campos Villavicencio (CEA)
87,Soccer Stadium,19.43040577104911,-99.18043369390816,87.0,Estadio MVS Radio
88,Music Venue,19.42880345630576,-99.13899528033272,,Music Club
89,Music Venue,19.41628581755055,-99.16519612179992,,Romma music club
90,Music Venue,19.434658,-99.133753,,Garage Music
91,Music Venue,19.406274586044173,-99.17578892083156,,Master Music Pro Tony Bravo
92,Music Venue,19.49584371133633,-99.17397022247314,,Priceless Music Lounge By MasterCard
93,Music Venue,19.42726609596101,-99.13926193977824,,Heaven Music
94,Music Venue,19.41859368649446,-99.10615993209814,,Ramling Music Institute
95,Music Venue,19.433666474443456,-99.1549637444499,,Anthropology Live Music Club
96,Public Art,19.414975354932025,-99.1517312452062,,zathya music lab
97,Music Venue,19.443976533366406,-99.15605568837877,,Academia Music Vivaldi
